Name,Price,24H change,24H volume,Market Cap
Bitcoin,"$18,024.81",+4.37%,$25.99 B,$342.51 B
Ethereum,"$1,339.22",+5.69%,$8.63 B,$162.2 B
Tether,$1.02,-0.04%,$36.49 B,$65.76 B
BNB,$278.34,-0.85%,$1.91 B,$43.92 B
USD Coin,$1.00,+0.09%,$3.73 B,$42.6 B
Binance USD,$1.00,-0.16%,$10.77 B,$21.85 B
XRP,$0.3978,+4.08%,$1.12 B,$19.77 B
Dogecoin,$0.09323,+3.79%,$737.83 M,$12.19 B
Cardano,$0.3183,+2.99%,$293.76 M,$10.82 B
Polygon,$0.9446,+4.93%,$405.22 M,$8.14 B
Polkadot,$5.35,+2.64%,$254.73 M,$6.04 B
Dai,$1.01,-0.08%,$260.92 M,$5.87 B
Litecoin,$79.35,+4.38%,$663.31 M,$5.62 B
Wrapped TRON,$0.05421,+2.87%,$1.14 M,$5.51 B
Solana,$14.41,+4.77%,$319.4 M,$5.05 B
Shiba Inu,$0.000009399,+3.57%,$174.21 M,$5.05 B
TRON,$0.0545,+3.26%,$272.55 M,$5.02 B
HEX,$0.02894,+4.94%,$5.36 M,$5.02 B
Uniswap,$6.26,+4.75%,$80.88 M,$4.67 B
Lido stETH,"$1,239.22",+0.67%,$15.43 M,$4.32 B
Avalanche,$14.01,+8.36%,$259.97 M,$4.29 B
UNUS SED LEO,$3.74,-0.58%,$2.69 M,$3.56 B
Wrapped Bitcoin,"$17,981.20",+4.62%,$113.56 M,$3.54 B
Chainlink,$7.08,+5.05%,$289.96 M,$3.53 B
Toncoin,$2.33,+10.13%,$63.25 M,$2.85 B
Cosmos,$10.00,+2.63%,$151.54 M,$2.82 B
Monero,$151.63,+0.70%,$95.84 M,$2.76 B
Ethereum Classic,$19.64,+5.21%,$154.46 M,$2.67 B
Stellar,$0.08611,+0.80%,$70.15 M,$2.19 B
Bitcoin Cash,$110.92,+3.31%,$195.03 M,$2.1 B
Algorand,$0.2254,+3.18%,$58.82 M,$1.58 B
Cronos,$0.06365,+0.49%,$19.81 M,$1.58 B
Quant,$125.14,+4.54%,$40.47 M,$1.48 B
ApeCoin,$4.18,-5.46%,$298.33 M,$1.48 B
Filecoin,$4.41,+2.73%,$86.99 M,$1.47 B
NEAR Protocol,$1.75,+6.76%,$103.58 M,$1.43 B
VeChain,$0.01979,+1.91%,$37.51 M,$1.38 B
OKB,$22.95,+9.23%,$25.14 M,$1.38 B
Hedera,$0.05027,+1.99%,$18.76 M,$1.19 B
Internet Computer,$4.30,+1.55%,$30.95 M,$1.18 B
EOS,$1.02,+2.73%,$141.7 M,$1.08 B
Elrond,$45.41,+0.24%,$21.94 M,$1.06 B
Wrapped BNB,$274.91,-0.77%,$173.89 M,$1.03 B
Frax,$1.00,+0.19%,$13.2 M,$1.02 B
Luna Classic,$0.0001859,+1.42%,$87.51 M,$1.02 B
Flow,$0.9852,+3.17%,$42.83 M,$999.19 M
Huobi Token,$6.32,+1.48%,$12.07 M,$969.45 M
Bitcoin BEP2,"$17,786.13",+4.39%,$14.14 M,$950.88 M
Pax Dollar,$0.999,-0.17%,$4.43 M,$944.68 M
Trust Wallet Token,$2.25,-4.30%,$157.12 M,$936.41 M
